X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,icon_url
-49.189114,-22.459217,"254","254<BR>CODIGOARTESP=160150013199<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=254<BR>LATITUDE1=-22,4592173938019<BR>LONGITUDE1=-49,1891135813892<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.197763,-22.463013,"255","255<BR>CODIGOARTESP=160150013188<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=255<BR>LATITUDE1=-22,4630127127742<BR>LONGITUDE1=-49,1977627408295<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.206541,-22.466844,"256","256<BR>CODIGOARTESP=160150013177<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=256<BR>LATITUDE1=-22,4668438685887<BR>LONGITUDE1=-49,2065413925194<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.213801,-22.472579,"257","257<BR>CODIGOARTESP=160150025259<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=257<BR>LATITUDE1=-22,472579239589<BR>LONGITUDE1=-49,2138011924547<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.220733,-22.478882,"258","258<BR>CODIGOARTESP=160150025248<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=258<BR>LATITUDE1=-22,4788823847132<BR>LONGITUDE1=-49,2207332895973<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.230465,-22.480017,"259","259<BR>CODIGOARTESP=160150008824<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=259<BR>LATITUDE1=-22,480017417254<BR>LONGITUDE1=-49,230464801187<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.239404,-22.482428,"260","260<BR>CODIGOARTESP=160150025226<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=260<BR>LATITUDE1=-22,482428204015<BR>LONGITUDE1=-49,2394040948132<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.245407,-22.488922,"261","261<BR>CODIGOARTESP=160150015642<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=261<BR>LATITUDE1=-22,4889216992296<BR>LONGITUDE1=-49,2454068795292<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.254183,-22.492363,"262","262<BR>CODIGOARTESP=160150013504<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=262<BR>LATITUDE1=-22,4923625094716<BR>LONGITUDE1=-49,2541834966283<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.263553,-22.496148,"263","263<BR>CODIGOARTESP=160150057182<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=263<BR>LATITUDE1=-22,4961483467804<BR>LONGITUDE1=-49,26355323753<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.272023,-22.499473,"264","264<BR>CODIGOARTESP=160150013482<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=264<BR>LATITUDE1=-22,4994726802421<BR>LONGITUDE1=-49,272022660349<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.280942,-22.503081,"265","265<BR>CODIGOARTESP=160150025169<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=265<BR>LATITUDE1=-22,5030806658487<BR>LONGITUDE1=-49,2809417764411<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.2894,-22.506368,"266","266<BR>CODIGOARTESP=160150001466<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=266<BR>LATITUDE1=-22,5063677623842<BR>LONGITUDE1=-49,2894001964316<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.298726,-22.510103,"267","267<BR>CODIGOARTESP=160150025136<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=267<BR>LATITUDE1=-22,5101028387678<BR>LONGITUDE1=-49,2987263469784<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.307853,-22.513804,"268","268<BR>CODIGOARTESP=160150025125<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=268<BR>LATITUDE1=-22,5138044663766<BR>LONGITUDE1=-49,307853475512<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.315755,-22.518978,"269","269<BR>CODIGOARTESP=160150025114<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=269<BR>LATITUDE1=-22,5189780295892<BR>LONGITUDE1=-49,3157552265314<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.323501,-22.524272,"270","270<BR>CODIGOARTESP=160150001411<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=270<BR>LATITUDE1=-22,5242717038636<BR>LONGITUDE1=-49,3235012720487<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.33128,-22.529586,"271","271<BR>CODIGOARTESP=160150025092<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=271<BR>LATITUDE1=-22,5295856224899<BR>LONGITUDE1=-49,3312799474035<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.339097,-22.534975,"272","272<BR>CODIGOARTESP=160150025079<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=272<BR>LATITUDE1=-22,5349748987682<BR>LONGITUDE1=-49,3390970710288<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.346997,-22.540236,"273","273<BR>CODIGOARTESP=160150013526<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=273<BR>LATITUDE1=-22,5402364818536<BR>LONGITUDE1=-49,3469966376503<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.354674,-22.545496,"274","274<BR>CODIGOARTESP=160150013752<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=274<BR>LATITUDE1=-22,545495639855<BR>LONGITUDE1=-49,354674348777<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
